Date_of_Loss,Total_Cost
1/1/2008 0:00,185490.77
1/2/2008 0:00,3000352.1
1/3/2008 0:00,1390027.04
1/4/2008 0:00,984923.89
1/5/2008 0:00,249722.02
1/6/2008 0:00,20.6
1/7/2008 0:00,1536355.97
1/8/2008 0:00,1352741.1
1/9/2008 0:00,1227090.87
1/10/2008 0:00,959861.28
1/11/2008 0:00,735704.3
1/12/2008 0:00,495590
1/13/2008 0:00,343337.22
1/14/2008 0:00,1927253.43
1/15/2008 0:00,1021208.68
1/16/2008 0:00,2970535.41
1/17/2008 0:00,860347.66
1/18/2008 0:00,1485604.91
1/19/2008 0:00,949230.46
1/20/2008 0:00,643132.2
1/21/2008 0:00,1481566.27
1/22/2008 0:00,828055.3
1/23/2008 0:00,1927934.61
1/24/2008 0:00,645998.1
1/25/2008 0:00,935396.69
1/26/2008 0:00,453138.55
1/27/2008 0:00,814930.81
1/28/2008 0:00,1684547.98
1/29/2008 0:00,2857500.06
1/30/2008 0:00,2175762.31
1/31/2008 0:00,1325293.22
2/1/2008 0:00,1341191.04
2/2/2008 0:00,436368.92
2/3/2008 0:00,532751.64
2/4/2008 0:00,2150213.91
2/5/2008 0:00,1250076.1
2/6/2008 0:00,1536933.63
2/7/2008 0:00,1918789.27
2/8/2008 0:00,1443813.88
2/9/2008 0:00,428566.09
2/10/2008 0:00,229648.26
2/11/2008 0:00,1285715.78
2/12/2008 0:00,1230566.41
2/13/2008 0:00,1195763.54
2/14/2008 0:00,1124435.83
2/15/2008 0:00,1289996.42
2/16/2008 0:00,1890293.92
2/17/2008 0:00,134512.79
2/18/2008 0:00,2563207.44
2/19/2008 0:00,1075024.66
2/20/2008 0:00,2451079.33
2/21/2008 0:00,1712581.63
2/22/2008 0:00,949617.96
2/23/2008 0:00,185553.38
2/24/2008 0:00,123358.3
2/25/2008 0:00,1618996.32
2/26/2008 0:00,1165401.27
2/27/2008 0:00,1215878.37
2/28/2008 0:00,982237.92
2/29/2008 0:00,1834401.88
3/1/2008 0:00,1456415.89
3/2/2008 0:00,245625.95
3/3/2008 0:00,1189702.85
3/4/2008 0:00,980511.48
3/5/2008 0:00,1061145.25
3/6/2008 0:00,767022.21
3/7/2008 0:00,898593.51
3/8/2008 0:00,121355.05
3/9/2008 0:00,707463.03
3/10/2008 0:00,1112159.84
3/11/2008 0:00,944270.86
3/12/2008 0:00,1505928.9
3/13/2008 0:00,557363.14
3/14/2008 0:00,1237003.17
3/15/2008 0:00,242372.65
3/16/2008 0:00,282810.1
3/17/2008 0:00,2008482.04
3/18/2008 0:00,1284380.31
3/19/2008 0:00,929159.78
3/20/2008 0:00,540563.22
3/21/2008 0:00,1346454.53
3/22/2008 0:00,67781.63
3/23/2008 0:00,124659.45
3/24/2008 0:00,642626.57
3/25/2008 0:00,1299084.64
3/26/2008 0:00,1304521.29
3/27/2008 0:00,673813.59
3/28/2008 0:00,1639470.12
3/29/2008 0:00,770772.7
3/30/2008 0:00,788551.09
3/31/2008 0:00,1786086.03
4/1/2008 0:00,1766593.84
4/2/2008 0:00,1632295.75
4/3/2008 0:00,947789.59
4/4/2008 0:00,270928.54
4/5/2008 0:00,1102194.43
4/6/2008 0:00,59631.56
4/7/2008 0:00,1613770.16
4/8/2008 0:00,777159.11
4/9/2008 0:00,911756.95
4/10/2008 0:00,1070180.52
4/11/2008 0:00,367461.21
4/12/2008 0:00,231714.25
4/13/2008 0:00,881696.08
4/14/2008 0:00,510322.69
4/15/2008 0:00,665028.11
4/16/2008 0:00,600566.39
4/17/2008 0:00,1075820.31
4/18/2008 0:00,819225.88
4/19/2008 0:00,221523.59
4/20/2008 0:00,1107843.89
4/21/2008 0:00,996171.9
4/22/2008 0:00,1610180.52
4/23/2008 0:00,1902163.68
4/24/2008 0:00,1627508.07
4/25/2008 0:00,877510.76
4/26/2008 0:00,426846.03
4/27/2008 0:00,88896.64
4/28/2008 0:00,902036.56
4/29/2008 0:00,992663.47
4/30/2008 0:00,634804.25
5/1/2008 0:00,1139299.36
5/2/2008 0:00,1258753.89
5/3/2008 0:00,1259575.87
5/4/2008 0:00,353844.79
5/5/2008 0:00,1086679.2
5/6/2008 0:00,1139743.31
5/7/2008 0:00,676381.71
5/8/2008 0:00,1669605.06
5/9/2008 0:00,1684931.88
5/10/2008 0:00,1769059.63
5/11/2008 0:00,182763.98
5/12/2008 0:00,876578.13
5/13/2008 0:00,1248992.47
5/14/2008 0:00,1326765.97
5/15/2008 0:00,1639657.14
5/16/2008 0:00,1076788.64
5/17/2008 0:00,145004.47
5/18/2008 0:00,77746.51
5/19/2008 0:00,682705.42
5/20/2008 0:00,1165172.78
5/21/2008 0:00,1184308.46
5/22/2008 0:00,518790
5/23/2008 0:00,1272248.79
5/24/2008 0:00,125310.04
5/25/2008 0:00,551592.26
5/26/2008 0:00,235525
5/27/2008 0:00,1475627.29
5/28/2008 0:00,1594186.09
5/29/2008 0:00,322635.32
5/30/2008 0:00,904197.7
5/31/2008 0:00,588144.69
6/1/2008 0:00,1050342.22
6/2/2008 0:00,1293601.23
6/3/2008 0:00,1575241.24
6/4/2008 0:00,1441412.34
6/5/2008 0:00,1688591
6/6/2008 0:00,1547090.03
6/7/2008 0:00,148801.5
6/8/2008 0:00,373886.98
6/9/2008 0:00,1107125.7
6/10/2008 0:00,1161314.75
6/11/2008 0:00,2639474.68
6/12/2008 0:00,1704518.99
6/13/2008 0:00,579345.5
6/14/2008 0:00,510368.34
6/15/2008 0:00,390008.86
6/16/2008 0:00,1538699.51
6/17/2008 0:00,1618679.95
6/18/2008 0:00,1177296.42
6/19/2008 0:00,1300698.17
6/20/2008 0:00,1556180.02
6/21/2008 0:00,528189.6
6/22/2008 0:00,129992.66
6/23/2008 0:00,654312.16
6/24/2008 0:00,856066.59
6/25/2008 0:00,1089419.2
6/26/2008 0:00,1255241.1
6/27/2008 0:00,953512.91
6/28/2008 0:00,634328.71
6/29/2008 0:00,21791.31
6/30/2008 0:00,1737934.19
7/1/2008 0:00,1741738.46
7/2/2008 0:00,1502032.12
7/3/2008 0:00,1324132.82
7/4/2008 0:00,34297.56
7/5/2008 0:00,332497.88
7/7/2008 0:00,669778.1
7/8/2008 0:00,2472153.2
7/9/2008 0:00,1728146.55
7/10/2008 0:00,830529.28
7/11/2008 0:00,1189346.13
7/12/2008 0:00,428934.86
7/13/2008 0:00,62047.77
7/14/2008 0:00,1243462.87
7/15/2008 0:00,1650062.53
