Date_of_Loss,Total_Cost
1/1/2008 0:00,764640.58
1/2/2008 0:00,1657091.99
1/3/2008 0:00,912044.79
1/4/2008 0:00,1587869.87
1/5/2008 0:00,410630.47
1/6/2008 0:00,441935.68
1/7/2008 0:00,1416516.27
1/8/2008 0:00,1601910.04
1/9/2008 0:00,1060636.55
1/10/2008 0:00,927464.85
1/11/2008 0:00,1476517.85
1/12/2008 0:00,440073.87
1/13/2008 0:00,295394
1/14/2008 0:00,1877372.61
1/15/2008 0:00,1528620.66
1/16/2008 0:00,960968.79
1/17/2008 0:00,1762002.19
1/18/2008 0:00,1162333.61
1/19/2008 0:00,651668.7
1/20/2008 0:00,711365.45
1/21/2008 0:00,847189.89
1/22/2008 0:00,1422980.32
1/23/2008 0:00,1498104.29
1/24/2008 0:00,1441327.27
1/25/2008 0:00,1556016.59
1/26/2008 0:00,571964.67
1/27/2008 0:00,346638.16
1/28/2008 0:00,1206946.41
1/29/2008 0:00,1559972.15
1/30/2008 0:00,1107973.38
1/31/2008 0:00,1736515.16
2/1/2008 0:00,2067569.92
2/2/2008 0:00,782068.78
2/3/2008 0:00,379935.26
2/4/2008 0:00,1398018.86
2/5/2008 0:00,1182171.28
2/6/2008 0:00,2264804.78
2/7/2008 0:00,1937905.21
2/8/2008 0:00,1518924.29
2/9/2008 0:00,604609
2/10/2008 0:00,583092.8
2/11/2008 0:00,1853721.65
2/12/2008 0:00,1610022.43
2/13/2008 0:00,1459675.78
2/14/2008 0:00,1034740.67
2/15/2008 0:00,1000803.53
2/16/2008 0:00,512012.33
2/17/2008 0:00,276328.59
2/18/2008 0:00,2462544.72
2/19/2008 0:00,1666100.41
2/20/2008 0:00,1460880.33
2/21/2008 0:00,1939644.36
2/22/2008 0:00,1414687.87
2/23/2008 0:00,450335.76
2/24/2008 0:00,528469.65
2/25/2008 0:00,1652768.19
2/26/2008 0:00,1579431.42
2/27/2008 0:00,1435207.32
2/28/2008 0:00,1100271.77
2/29/2008 0:00,1248353.53
3/1/2008 0:00,1383247.47
3/2/2008 0:00,530728.38
3/3/2008 0:00,1468474.43
3/4/2008 0:00,1944192.94
3/5/2008 0:00,1481846.37
3/6/2008 0:00,1594924.43
3/7/2008 0:00,1193193.24
3/8/2008 0:00,640802.73
3/9/2008 0:00,313561.95
3/10/2008 0:00,1356602.66
3/11/2008 0:00,874789.44
3/12/2008 0:00,943582.19
3/13/2008 0:00,1111767.61
3/14/2008 0:00,730760.86
3/15/2008 0:00,425981.83
3/16/2008 0:00,464246.72
3/17/2008 0:00,1294478.71
3/18/2008 0:00,1232733.28
3/19/2008 0:00,1044667.42
3/20/2008 0:00,779102.99
3/21/2008 0:00,671253.51
3/22/2008 0:00,309548.51
3/23/2008 0:00,540146.32
3/24/2008 0:00,1385771.59
3/25/2008 0:00,1059894.24
3/26/2008 0:00,901422.57
3/27/2008 0:00,725906.87
3/28/2008 0:00,1533869.23
3/29/2008 0:00,293175.59
3/30/2008 0:00,736118.27
3/31/2008 0:00,1116983.78
4/1/2008 0:00,1489087.6
4/2/2008 0:00,1226071.28
4/3/2008 0:00,939946.9
4/4/2008 0:00,840087.76
4/5/2008 0:00,531607.5
4/6/2008 0:00,1075058.3
4/7/2008 0:00,1363230.73
4/8/2008 0:00,1609328.23
4/9/2008 0:00,1408837.72
